Product Name,Category,Stock,Price,Expiry Date
Apple iPhone 14,Electronics,25,999.99,2025-12-31
Samsung Galaxy S22,Electronics,8,849.99,2025-06-30
Dell XPS Laptop,Electronics,15,1299.99,2026-01-15
Office Chair Premium,Furniture,3,299.99,2027-01-01
Wireless Mouse,Electronics,45,29.99,2025-08-15
Standing Desk,Furniture,12,599.99,2026-03-20
Bluetooth Headphones,Electronics,18,199.99,2025-05-10
Coffee Maker,Appliances,7,129.99,2024-12-25
Microwave Oven,Appliances,4,179.99,2024-11-30
LED Monitor 27inch,Electronics,22,349.99,2025-09-15
Ergonomic Keyboard,Electronics,35,79.99,2025-07-20
Air Purifier,Appliances,9,249.99,2025-02-28
Desk Lamp LED,Furniture,28,49.99,2025-11-10
Protein Powder Vanilla,Health,12,39.99,2024-10-15
Multivitamins,Health,5,24.99,2024-09-30
Yoga Mat,Fitness,20,34.99,2026-05-15
Dumbbells 20lb,Fitness,8,89.99,2027-12-31
Treadmill,Fitness,2,899.99,2026-08-20
Blender,Appliances,14,79.99,2025-03-12
Toaster,Appliances,6,49.99,2024-12-05
Gaming Chair,Furniture,7,399.99,2026-02-14
Tablet 10inch,Electronics,11,299.99,2025-10-25
Smartwatch,Electronics,16,249.99,2025-04-18
Wireless Charger,Electronics,32,24.99,2025-12-20
Bookshelf,Furniture,5,149.99,2027-06-30
Table Lamp,Furniture,19,39.99,2025-08-05
Rice Cooker,Appliances,10,69.99,2025-01-30
Vacuum Cleaner,Appliances,3,199.99,2025-07-12
Wall Clock,Home Decor,25,19.99,2026-11-25
Picture Frame,Home Decor,40,14.99,2026-09-10
Candle Set,Home Decor,15,29.99,2025-03-08
Plant Pot,Home Decor,30,12.99,2026-04-22
Bathroom Scale,Health,13,39.99,2025-06-18
Hand Sanitizer,Health,8,4.99,2024-08-15
Face Masks N95,Health,2,19.99,2024-07-20
Thermometer,Health,18,24.99,2025-05-05
First Aid Kit,Health,6,34.99,2026-01-10
Resistance Bands,Fitness,22,19.99,2025-12-08
Jump Rope,Fitness,35,14.99,2026-03-15
Water Bottle,Fitness,27,12.99,2025-11-30
